"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3220","Successful search by key words in Desks category","tests","Thu Nov 20 18:19:44 UTC 2025","passed","Thu Nov 20 18:19:48 UTC 2025","TestDesksPage","desks_tests","",""
"","6560","Sort desks - Name (A-Z)","tests","Thu Nov 20 18:19:51 UTC 2025","passed","Thu Nov 20 18:19:57 UTC 2025","TestDesksPage","desks_tests","",""
"","4720","Successfully search products by their titles on Product page","tests","Thu Nov 20 18:20:05 UTC 2025","passed","Thu Nov 20 18:20:10 UTC 2025","TestProductPage","product_page_tests","",""
"","7329","Successfully filter by max price","tests","Thu Nov 20 18:19:48 UTC 2025","passed","Thu Nov 20 18:19:56 UTC 2025","TestDesksPage","desks_tests","",""
"","4507","Successfully search products by their titles on Product page","tests","Thu Nov 20 18:20:03 UTC 2025","passed","Thu Nov 20 18:20:07 UTC 2025","TestProductPage","product_page_tests","",""
"","4009","Successfully add product to cart by hover button","tests","Thu Nov 20 18:19:43 UTC 2025","passed","Thu Nov 20 18:19:47 UTC 2025","TestCartPage","cart_tests","",""
"","2954","Empty Cart page has all the necessary details","tests","Thu Nov 20 18:19:40 UTC 2025","passed","Thu Nov 20 18:19:43 UTC 2025","TestCartPage","cart_tests","",""
"","7157","Successfully filter by max price","tests","Thu Nov 20 18:19:48 UTC 2025","passed","Thu Nov 20 18:19:55 UTC 2025","TestDesksPage","desks_tests","",""
"","4283","Successfully search products by their titles on Product page","tests","Thu Nov 20 18:20:03 UTC 2025","passed","Thu Nov 20 18:20:07 UTC 2025","TestProductPage","product_page_tests","",""
"","3308","Successful search by key words in Desks category","tests","Thu Nov 20 18:19:44 UTC 2025","passed","Thu Nov 20 18:19:48 UTC 2025","TestDesksPage","desks_tests","",""
"","3896","Successful search by key words in Desks category","tests","Thu Nov 20 18:19:40 UTC 2025","passed","Thu Nov 20 18:19:44 UTC 2025","TestDesksPage","desks_tests","",""
"","6049","Sort desks - Price - Low to High","tests","Thu Nov 20 18:19:56 UTC 2025","passed","Thu Nov 20 18:20:02 UTC 2025","TestDesksPage","desks_tests","",""
"","5530","Successfully add product to cart from Product page","tests","Thu Nov 20 18:20:02 UTC 2025","passed","Thu Nov 20 18:20:08 UTC 2025","TestProductPage","product_page_tests","",""
"","3035","Product has all the necessary details","tests","Thu Nov 20 18:19:56 UTC 2025","passed","Thu Nov 20 18:19:59 UTC 2025","TestProductPage","product_page_tests","",""
"","7048","Successfully filter by max price","tests","Thu Nov 20 18:19:48 UTC 2025","passed","Thu Nov 20 18:19:55 UTC 2025","TestDesksPage","desks_tests","",""
"","5095","Successfully add product to cart from Product page","tests","Thu Nov 20 18:19:58 UTC 2025","passed","Thu Nov 20 18:20:03 UTC 2025","TestProductPage","product_page_tests","",""
"","6198","Sort desks - Price - High to Low","tests","Thu Nov 20 18:19:56 UTC 2025","passed","Thu Nov 20 18:20:02 UTC 2025","TestDesksPage","desks_tests","",""
"","1177","Successfully remove product from cart","tests","Thu Nov 20 18:19:49 UTC 2025","passed","Thu Nov 20 18:19:50 UTC 2025","TestCartPage","cart_tests","",""
"","4566","Successfully search products by their titles on Product page","tests","Thu Nov 20 18:20:00 UTC 2025","passed","Thu Nov 20 18:20:04 UTC 2025","TestProductPage","product_page_tests","",""
"","3951","Successful search by key words in Desks category","tests","Thu Nov 20 18:19:40 UTC 2025","passed","Thu Nov 20 18:19:44 UTC 2025","TestDesksPage","desks_tests","",""
"","4753","Successfully add product to cart by hover button","tests","Thu Nov 20 18:19:40 UTC 2025","passed","Thu Nov 20 18:19:45 UTC 2025","TestCartPage","cart_tests","",""
