"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3703","Successful search by key words in Desks category","tests","Thu Oct 30 11:45:06 UTC 2025","passed","Thu Oct 30 11:45:09 UTC 2025","TestDesksPage","desks_tests","",""
"","3936","Successfully search products by their titles on Product page","tests","Thu Oct 30 11:45:26 UTC 2025","passed","Thu Oct 30 11:45:30 UTC 2025","TestProductPage","product_page_tests","",""
"","4894","Successful search by key words in Desks category","tests","Thu Oct 30 11:45:00 UTC 2025","passed","Thu Oct 30 11:45:05 UTC 2025","TestDesksPage","desks_tests","",""
"","6142","Successfully add product to cart by hover button","tests","Thu Oct 30 11:45:00 UTC 2025","passed","Thu Oct 30 11:45:06 UTC 2025","TestCartPage","cart_tests","",""
"","4826","Successfully add product to cart from Product page","tests","Thu Oct 30 11:45:26 UTC 2025","passed","Thu Oct 30 11:45:31 UTC 2025","TestProductPage","product_page_tests","",""
"","7566","Successfully filter by max price","tests","Thu Oct 30 11:45:10 UTC 2025","passed","Thu Oct 30 11:45:18 UTC 2025","TestDesksPage","desks_tests","",""
"","6975","Sort desks - Price - Low to High","tests","Thu Oct 30 11:45:18 UTC 2025","passed","Thu Oct 30 11:45:25 UTC 2025","TestDesksPage","desks_tests","",""
"","4154","Successfully search products by their titles on Product page","tests","Thu Oct 30 11:45:31 UTC 2025","passed","Thu Oct 30 11:45:35 UTC 2025","TestProductPage","product_page_tests","",""
"","5065","Successfully add product to cart from Product page","tests","Thu Oct 30 11:45:21 UTC 2025","passed","Thu Oct 30 11:45:26 UTC 2025","TestProductPage","product_page_tests","",""
"","4162","Successfully search products by their titles on Product page","tests","Thu Oct 30 11:45:47 UTC 2025","passed","Thu Oct 30 11:45:51 UTC 2025","TestProductPage","product_page_tests","",""
"","5057","Successfully add product to cart by hover button","tests","Thu Oct 30 11:45:04 UTC 2025","passed","Thu Oct 30 11:45:09 UTC 2025","TestCartPage","cart_tests","",""
"","3656","Empty Cart page has all the necessary details","tests","Thu Oct 30 11:45:00 UTC 2025","passed","Thu Oct 30 11:45:04 UTC 2025","TestCartPage","cart_tests","",""
"","7385","Successfully filter by max price","tests","Thu Oct 30 11:45:10 UTC 2025","passed","Thu Oct 30 11:45:17 UTC 2025","TestDesksPage","desks_tests","",""
"","4008","Successful search by key words in Desks category","tests","Thu Oct 30 11:45:06 UTC 2025","passed","Thu Oct 30 11:45:10 UTC 2025","TestDesksPage","desks_tests","",""
"","3544","Product has all the necessary details","tests","Thu Oct 30 11:45:43 UTC 2025","passed","Thu Oct 30 11:45:47 UTC 2025","TestProductPage","product_page_tests","",""
"","4173","Successfully search products by their titles on Product page","tests","Thu Oct 30 11:45:27 UTC 2025","passed","Thu Oct 30 11:45:31 UTC 2025","TestProductPage","product_page_tests","",""
"","1216","Successfully remove product from cart","tests","Thu Oct 30 11:45:12 UTC 2025","passed","Thu Oct 30 11:45:13 UTC 2025","TestCartPage","cart_tests","",""
"","5113","Successful search by key words in Desks category","tests","Thu Oct 30 11:45:00 UTC 2025","passed","Thu Oct 30 11:45:05 UTC 2025","TestDesksPage","desks_tests","",""
"","7078","Sort desks - Name (A-Z)","tests","Thu Oct 30 11:45:14 UTC 2025","passed","Thu Oct 30 11:45:21 UTC 2025","TestDesksPage","desks_tests","",""
"","7017","Sort desks - Price - High to Low","tests","Thu Oct 30 11:45:19 UTC 2025","passed","Thu Oct 30 11:45:26 UTC 2025","TestDesksPage","desks_tests","",""
"","8104","Successfully filter by max price","tests","Thu Oct 30 11:45:10 UTC 2025","passed","Thu Oct 30 11:45:18 UTC 2025","TestDesksPage","desks_tests","",""
